source,english_sentence,kumaoni_sentence
ted,Zero ,शून्य 
ted,One ,एक 
ted,Two ,दो 
ted,Three,तीन 
ted,Four ,चार 
ted,Five ,पाँच 
ted,Six ,छः 
ted,Seven ,सात 
ted,Eight ,आठ 
ted,Nine ,नौ 
ted,Ten ,दस 
ted,Eleven (11),ग्यारह (११)
ted,Twelve (12),बारह (१२)
ted,Thirteen (13),तेरह (१३)
ted,Fourteen (14),चौदह (१४)
ted,Fifteen (15),पंद्रह (१५)
ted,Sixteen (16),सोलह (१६)
ted,Seventeen (17),सत्रह (१७)
ted,Eighteen (18),अट्ठारह (१८)
ted,Nineteen (19),उन्नीस (१९)
ted,Twenty (20),बीस (२०)
ted,Twenty one (21),इक्कीस (२१)
ted,Twenty two (22),बाईस (२२)
ted,Twenty three (23),तेईस (२३)
ted,Twenty four (24),चौबिस(२४)
ted,Twenty five (25),पच्चीस(२५)
ted,Twenty six (26),छब्बीस(२६)
ted,Twenty seven (27),सत्ताईस (२७)
ted,Twenty eight (28),अट्ठाईस (२८)
ted,Twenty nine (29),उनतीस (२९)
ted,Thirty (30),तीस (३०)
ted,Thirty one (31),इकतीस (३१)
ted,Thirty two (32),बत्तीस (३२)
ted,Thirty three (33),तैंतीस (३३)
ted,Thirty four (34),चौंतीस (३४)
ted,Thirty five (35),पैंतीस (३५)
ted,Thirty six (36),छत्तीस(३६)
ted,Thirty seven (37),सैंतीस (३७)
ted,Thirty eight (38),अड़तीस (३८)
ted,Thirty nine (39),उनतालीस (३९)
ted,Forty (40),चालीस (४०)
ted,Forty one (41),इकतालीस (४१)
ted,Forty two (42),बयालीस (४२)
ted,Forty three (43),तैंतालीस (४३)
ted,Forty four (44),चौंतालीस(४४)
ted,Forty five (45),पैंतालीस (४५)
ted,Forty six (46),छियालीस(४६)
ted,Forty seven (47),सैंतालीस (४७)
ted,Forty eight (48),अड़तालीस (४८)
ted,Forty nine (49),उनचास​(४९)
ted,Fifty (50),पचास (५०)
ted,Fifty one (51),इक्यावन​(५१)
ted,Fifty two (52),बावन (५२)
ted,Fifty three (53),तिरेपन (५३)
ted,Fifty four (54),चौवन​(५४)
ted,Fifty five (55),पचपन (५५)
ted,Fifty six (56),छप्पन (५६)
ted,Fifty seven (57),सत्तावन (५७)
ted,Fifty eight (58),अट्ठावन (५८)
ted,Fifty nine (59),उनसठ (५९)
ted,Sixty (60),साठ (६०)
ted,Sixty one (61),इकसठ (६१)
ted,Sixty two (62),बासठ (६२)
ted,Sixty three (63),तिरेसठ (६३)
ted,Sixty four (64),चौंसठ (६४)
ted,Sixty five (65),पैंसठ (६५)
ted,Sixty six (66),छयासठ​(६६)
ted,Sixty seven (67),सरसठ​ (६७)
ted,Sixty eight (68),अड़सठ (६८)
ted,Sixty nine (69),उनहत्तर (६९)
ted,Seventy (70),सत्तर (७०)
